"","fragment.ID.full","Temp.C","fragment.ID","species","temp.Cat","treatment","genotype","rate.type","umol.cm2.hr","log.rate","K"
"202","1903_MF3hD",19.44422971,"MF3h","OFRA",19,"deep","MF3","R",0.449090662,0.370936230049255,292.59422971
"203","1903_ML1hD",19.45472572,"ML1h","DLAB",19,"deep","ML1","R",0.441878805,0.36594698886741,292.60472572
"204","1903_SA3hD",19.61678121,"SA3h","PAST",19,"shallow","SA3","R",0.330332739,0.285429090643188,292.76678121
"205","1903_SC2hD",19.42585568,"SC2h","MCAV",19,"shallow","SC2","R",0.162198543,0.150313507001225,292.57585568
"206","1903_SF1hD",19.19091299,"SF1h","OFRA",19,"shallow","SF1","R",0.338754333,0.291739579375891,292.34091299
"207","1903_SL1hD",19.44155969,"SL1h","DLAB",19,"shallow","SL1","R",0.521212654,0.419507815470186,292.59155969
"208","2101_MA1dD",21.41206337,"MA1d","PAST",21,"deep","MA1","R",0.346890996,0.297798970619962,294.56206337
"209","2101_MC1dD",21.31397023,"MC1d","MCAV",21,"deep","MC1","R",0.664235588,0.509365911704533,294.46397023
"210","2101_MF2dD",21.266976,"MF2d","OFRA",21,"deep","MF2","R",0.437956876,0.363223269975744,294.416976
"211","2101_ML3dD",21.30300672,"ML3d","DLAB",21,"deep","ML3","R",0.631776948,0.489669573181562,294.45300672
"212","2101_SA1dD",21.18383837,"SA1d","PAST",21,"shallow","SA1","R",0.512328147,0.41365028264923,294.33383837
"213","2101_SC2dD",21.2271555,"SC2d","MCAV",21,"shallow","SC2","R",0.316559758,0.275022090492614,294.3771555
"214","2101_SF3dD",21.37036617,"SF3d","OFRA",21,"shallow","SF3","R",0.371621244,0.31599342996729,294.52036617
"215","2101_SL3dD",21.45772564,"SL3d","DLAB",21,"shallow","SL3","R",0.789464391,0.58191635217153,294.60772564
"216","2102_MA3dD",21.32732854,"MA3d","PAST",21,"deep","MA3","R",0.457194324,0.376512891003319,294.47732854
"217","2102_MC3dD",21.59850342,"MC3d","MCAV",21,"deep","MC3","R",0.355648851,0.30428019654289,294.74850342
"218","2102_MF3dD",21.87844338,"MF3d","OFRA",21,"deep","MF3","R",0.776184058,0.574467275461373,295.02844338
"219","2102_ML2dD",21.26836022,"ML2d","DLAB",21,"deep","ML2","R",0.579180968,0.456906337952726,294.41836022
"220","2102_SA2dD",21.24119516,"SA2d","PAST",21,"shallow","SA2","R",0.40477624,0.339878030316046,294.39119516
"221","2102_SC1dD",21.36531843,"SC1d","MCAV",21,"shallow","SC1","R",0.457569547,0.376770354742187,294.51531843
"222","2102_SF1dD",21.30931953,"SF1d","OFRA",21,"shallow","SF1","R",0.539080034,0.431184857403222,294.45931953
