"","K","lwr_CI","upr_CI",".fitted","genotype","treatment","rate.type","species","group","term","estimate","std.error","statistic","p.value","fragment.ID2"
"482",300.903085807229,1.12970987099789,1.26924219233058,1.23461762071864,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"483",300.903085807229,1.12970987099789,1.26924219233058,1.23461762071864,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"484",300.903085807229,1.12970987099789,1.26924219233058,1.23461762071864,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"485",300.973254668956,1.13049600092283,1.26922451546256,1.23525005669768,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"486",300.973254668956,1.13049600092283,1.26922451546256,1.23525005669768,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"487",300.973254668956,1.13049600092283,1.26922451546256,1.23525005669768,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"488",300.973254668956,1.13049600092283,1.26922451546256,1.23525005669768,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"489",301.043423530683,1.13127118935136,1.26914884645009,1.23584871423242,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"490",301.043423530683,1.13127118935136,1.26914884645009,1.23584871423242,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"491",301.043423530683,1.13127118935136,1.26914884645009,1.23584871423242,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"492",301.043423530683,1.13127118935136,1.26914884645009,1.23584871423242,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"493",301.11359239241,1.13203489207805,1.26901360878569,1.23641234524567,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"494",301.11359239241,1.13203489207805,1.26901360878569,1.23641234524567,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"495",301.11359239241,1.13203489207805,1.26901360878569,1.23641234524567,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"496",301.11359239241,1.13203489207805,1.26901360878569,1.23641234524567,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"497",301.183761254137,1.13278653713521,1.26881719017632,1.23693965766417,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"498",301.183761254137,1.13278653713521,1.26881719017632,1.23693965766417,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"499",301.183761254137,1.13278653713521,1.26881719017632,1.23693965766417,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"500",301.183761254137,1.13278653713521,1.26881719017632,1.23693965766417,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
